                  epoch,         train/pos_loss,         train/mov_loss,        train/conf_loss,         train/hit_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/pos_loss,           val/mov_loss,          val/conf_loss,           val/hit_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    168,                 18.026,                 16.311,                 38.728,                0.05296,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017335,              0.0017335,              0.0017335
                    169,                 17.664,                 15.043,                 25.657,                0.05163,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001684,               0.001684,               0.001684
                    170,                 17.267,                 14.693,                 22.932,                0.05021,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016345,              0.0016345,              0.0016345
                    171,                 17.037,                 14.217,                 34.548,                0.04911,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001585,               0.001585,               0.001585
                    172,                 16.772,                 14.441,                 10.661,                 0.0474,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015355,              0.0015355,              0.0015355
                    173,                 16.521,                 13.756,                 26.758,                0.04592,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001486,               0.001486,               0.001486
                    174,                 16.166,                 12.598,                 10.476,                0.04403,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014365,              0.0014365,              0.0014365
                    175,                 15.869,                   12.2,                 12.469,                0.04209,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001387,               0.001387,               0.001387
                    176,                 15.704,                 12.169,                 9.2798,                0.04039,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013375,              0.0013375,              0.0013375
                    177,                 15.422,                 11.903,                 8.0734,                0.03845,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001288,               0.001288,               0.001288
                    178,                 15.126,                 11.106,                 7.4166,                0.03632,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012385,              0.0012385,              0.0012385
                    179,                 14.794,                 10.612,                 6.5692,                0.03401,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001189,               0.001189,               0.001189
                    180,                 14.574,                 9.9715,                 5.9132,                0.03142,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011395,              0.0011395,              0.0011395
                    181,                 14.369,                 9.5721,                 6.3539,                0.02906,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00109,                0.00109,                0.00109
                    182,                  14.14,                  9.193,                 5.5391,                0.02668,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010405,              0.0010405,              0.0010405
                    183,                 13.938,                 8.7174,                 5.3533,                0.02388,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000991,               0.000991,               0.000991
                    184,                 13.778,                 8.4604,                 5.3501,                0.02175,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009415,              0.0009415,              0.0009415
                    185,                 13.537,                 8.1309,                 4.7935,                0.01928,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000892,               0.000892,               0.000892
                    186,                 13.314,                   7.62,                 4.5772,                 0.0174,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008425,              0.0008425,              0.0008425
                    187,                  13.13,                 7.3532,                 4.4065,                0.01565,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000793,               0.000793,               0.000793
                    188,                 12.982,                 7.0842,                 4.2552,                 0.0141,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007435,              0.0007435,              0.0007435
                    189,                   12.8,                 6.9018,                 4.0388,                0.01253,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000694,               0.000694,               0.000694
                    190,                 12.624,                 6.5592,                 3.8825,                0.01121,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006445,              0.0006445,              0.0006445
                    191,                 12.476,                 6.0792,                 3.7738,                0.00996,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000595,               0.000595,               0.000595
                    192,                 12.322,                 5.8062,                 3.6589,                0.00894,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0005455,              0.0005455,              0.0005455
                    193,                 12.166,                 5.7206,                 3.5688,                0.00807,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000496,               0.000496,               0.000496
                    194,                  12.04,                 5.3962,                 3.4607,                0.00741,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004465,              0.0004465,              0.0004465
                    195,                 11.906,                 5.2036,                 3.3751,                0.00672,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000397,               0.000397,               0.000397
                    196,                 11.783,                 4.9291,                 3.3331,                0.00624,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0003475,              0.0003475,              0.0003475
                    197,                  11.66,                 4.7909,                 3.2606,                0.00574,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000298,               0.000298,               0.000298
                    198,                 11.551,                  4.598,                 3.1936,                0.00539,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0002485,              0.0002485,              0.0002485
                    199,                 11.453,                 4.4103,                 3.1345,                 0.0051,                     10,                      0,                      0,                      0,                      0,                     10,                      0,                 134.25,                 11.711,             2.7725e+05,                      0,               0.000199,               0.000199,               0.000199
