                  epoch,         train/pos_loss,        train/conf_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/pos_loss,          val/conf_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.3708,                 28.069,                      0,                      0,                      0,                      0,                      0,                      0,              0.0075745,              0.0075745,              0.0075745
                     51,                  1.363,                 28.357,                      0,                      0,                      0,                      0,                      0,                      0,               0.007525,               0.007525,               0.007525
                     52,                 1.3514,                 27.717,                      0,                      0,                      0,                      0,                      0,                      0,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.3432,                 27.273,                      0,                      0,                      0,                      0,                      0,                      0,               0.007426,               0.007426,               0.007426
                     54,                  1.337,                 25.958,                      0,                      0,                      0,                      0,                      0,                      0,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.3305,                 26.278,                      0,                      0,                      0,                      0,                      0,                      0,               0.007327,               0.007327,               0.007327
                     56,                 1.3227,                 25.189,                      0,                      0,                      0,                      0,                      0,                      0,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.3156,                 25.211,                      0,                      0,                      0,                      0,                      0,                      0,               0.007228,               0.007228,               0.007228
                     58,                 1.3091,                 25.489,                      0,                      0,                      0,                      0,                      0,                      0,              0.0071785,              0.0071785,              0.0071785
                     59,                  1.303,                 24.468,                      0,                      0,                      0,                      0,                      0,                      0,               0.007129,               0.007129,               0.007129
                     60,                 1.2942,                 23.901,                      0,                      0,                      0,                      0,                      0,                      0,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.2902,                 24.333,                      0,                      0,                      0,                      0,                      0,                      0,                0.00703,                0.00703,                0.00703
                     62,                 1.2854,                 23.328,                      0,                      0,                      0,                      0,                      0,                      0,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.2772,                 23.205,                      0,                      0,                      0,                      0,                      0,                      0,               0.006931,               0.006931,               0.006931
                     64,                 1.2722,                 22.538,                      0,                      0,                      0,                      0,                      0,                      0,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.2692,                 22.857,                      0,                      0,                      0,                      0,                      0,                      0,               0.006832,               0.006832,               0.006832
                     66,                 1.2633,                 22.112,                      0,                      0,                      0,                      0,                      0,                      0,              0.0067825,              0.0067825,              0.0067825
                     67,                  1.258,                 21.566,                      0,                      0,                      0,                      0,                      0,                      0,               0.006733,               0.006733,               0.006733
                     68,                 1.2542,                 20.495,                      0,                      0,                      0,                      0,                      0,                      0,              0.0066835,              0.0066835,              0.0066835
                     69,                  1.249,                 21.232,                      0,                      0,                      0,                      0,                      0,                      0,               0.006634,               0.006634,               0.006634
                     70,                 1.2447,                 20.602,                      0,                      0,                      0,                      0,                      0,                      0,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.2361,                 20.555,                      0,                      0,                      0,                      0,                      0,                      0,               0.006535,               0.006535,               0.006535
                     72,                 1.2361,                 19.917,                      0,                      0,                      0,                      0,                      0,                      0,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.2321,                 19.764,                      0,                      0,                      0,                      0,                      0,                      0,               0.006436,               0.006436,               0.006436
                     74,                 1.2269,                 19.158,                      0,                      0,                      0,                      0,                      0,                      0,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.2234,                 18.607,                      0,                      0,                      0,                      0,                      0,                      0,               0.006337,               0.006337,               0.006337
                     76,                 1.2191,                 18.369,                      0,                      0,                      0,                      0,                      0,                      0,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.2153,                 18.991,                      0,                      0,                      0,                      0,                      0,                      0,               0.006238,               0.006238,               0.006238
                     78,                 1.2102,                 17.922,                      0,                      0,                      0,                      0,                      0,                      0,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.2082,                 18.148,                      0,                      0,                      0,                      0,                      0,                      0,               0.006139,               0.006139,               0.006139
                     80,                 1.2039,                 17.418,                      0,                      0,                      0,                      0,                      0,                      0,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.2049,                 17.548,                      0,                      0,                      0,                      0,                      0,                      0,                0.00604,                0.00604,                0.00604
                     82,                 1.1985,                 17.946,                      0,                      0,                      0,                      0,                      0,                      0,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.1922,                 16.752,                      0,                      0,                      0,                      0,                      0,                      0,               0.005941,               0.005941,               0.005941
                     84,                 1.1888,                 16.163,                      0,                      0,                      0,                      0,                      0,                      0,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.1858,                 15.926,                      0,                      0,                      0,                      0,                      0,                      0,               0.005842,               0.005842,               0.005842
                     86,                 1.1836,                 16.672,                      0,                      0,                      0,                      0,                      0,                      0,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.1814,                  15.33,                      0,                      0,                      0,                      0,                      0,                      0,               0.005743,               0.005743,               0.005743
                     88,                 1.1776,                 15.481,                      0,                      0,                      0,                      0,                      0,                      0,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.1739,                 15.004,                      0,                      0,                      0,                      0,                      0,                      0,               0.005644,               0.005644,               0.005644
                     90,                 1.1728,                 14.854,                      0,                      0,                      0,                      0,                      0,                      0,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.1657,                 14.817,                      0,                      0,                      0,                      0,                      0,                      0,               0.005545,               0.005545,               0.005545
                     92,                  1.164,                  14.79,                      0,                      0,                      0,                      0,                      0,                      0,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.1642,                 14.209,                      0,                      0,                      0,                      0,                      0,                      0,               0.005446,               0.005446,               0.005446
                     94,                 1.1622,                 14.036,                      0,                      0,                      0,                      0,                      0,                      0,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.1589,                  13.94,                      0,                      0,                      0,                      0,                      0,                      0,               0.005347,               0.005347,               0.005347
                     96,                 1.1568,                 13.745,                      0,                      0,                      0,                      0,                      0,                      0,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.1554,                 13.322,                      0,                      0,                      0,                      0,                      0,                      0,               0.005248,               0.005248,               0.005248
                     98,                 1.1517,                 13.359,                      0,                      0,                      0,                      0,                      0,                      0,              0.0051985,              0.0051985,              0.0051985
